"","Question","Answer"
"8967","When will I ever stop feeling so unhappy?","I'm giving you a virtual hug right now."
"8968","I hate feeling sad","I'm giving you a virtual hug right now."
"8969","I hate feeling unhappy","I'm giving you a virtual hug right now."
"8970","I hate feeling miserable","I'm giving you a virtual hug right now."
"8971","I hate feeling blue","I'm giving you a virtual hug right now."
"8972","I hate feeling gloomy","I'm giving you a virtual hug right now."
"8973","Today has made me sad","I'm giving you a virtual hug right now."
"8974","I hate feeling downhearted","I'm giving you a virtual hug right now."
"8975","When will I ever stop feeling so melancholy?","I'm giving you a virtual hug right now."
"8976","I hate feeling glum","I'm giving you a virtual hug right now."
"8977","I hate feeling melancholy","I'm giving you a virtual hug right now."
"8978","I hate feeling like I'm in despair","I'm giving you a virtual hug right now."
"8979","I hate feeling dejected","I'm giving you a virtual hug right now."
"8980","I hate feeling inconsolable","I'm giving you a virtual hug right now."
"8981","I hate feeling like I'm broken hearted","I'm giving you a virtual hug right now."
"8982","I hate feeling downcast","I'm giving you a virtual hug right now."
"8983","When will I ever stop feeling so despondent?","I'm giving you a virtual hug right now."
"8984","I'm feeling unhappy today","I'm giving you a virtual hug right now."
"8985","Today is just a little sad","I'm giving you a virtual hug right now."
"8986","Today made me sad","I'm giving you a virtual hug right now."
"8987","What can I say? I'm just feeling sad","I'm giving you a virtual hug right now."
"8988","When will I ever stop feeling so blue?","I'm giving you a virtual hug right now."
"8989","When will I ever stop feeling so broken hearted?","I'm giving you a virtual hug right now."
"8990","When will I ever stop feeling so sad?","I'm giving you a virtual hug right now."
"8991","When will I ever stop feeling so despairing?","I'm giving you a virtual hug right now."
"8992","When will I ever stop feeling so miserable?","I'm giving you a virtual hug right now."
"8993","When will I ever stop feeling so down?","I'm giving you a virtual hug right now."
"8994","When will I ever stop feeling so downcast?","I'm giving you a virtual hug right now."
"8995","When will I ever stop feeling so downhearted?","I'm giving you a virtual hug right now."
"8996","When will I ever stop feeling so gloomy?","I'm giving you a virtual hug right now."
"8997","When will I ever stop feeling so glum?","I'm giving you a virtual hug right now."
"8998","When will I ever stop feeling so inconsolable?","I'm giving you a virtual hug right now."
"8999","I feel depressed","I'm giving you a virtual hug right now."
"9000","When will I ever stop feeling so dejected?","I'm giving you a virtual hug right now."
"9001","Today is just a little depressed","I'm giving you a virtual hug right now."
"9002","I am usually depressed","I'm giving you a virtual hug right now."
"9003","Listen, I'm just depressed","I'm giving you a virtual hug right now."
"9004","My life is just depressing","I'm giving you a virtual hug right now."
"9005","My life is so depressed","I'm giving you a virtual hug right now."
"9006","My whole life is depressing","I'm giving you a virtual hug right now."
"9007","Sometimes I just feel depressed","I'm giving you a virtual hug right now."
"9008","Lately I've been so depressed","I'm giving you a virtual hug right now."
"9009","Today has made me depressed","I'm giving you a virtual hug right now."
"9010","I've been depressed all day","I'm giving you a virtual hug right now."
"9011","This week has been depressing","I'm giving you a virtual hug right now."
"9012","Today made me depressed","I'm giving you a virtual hug right now."
"9013","What can I say? I'm just feeling depressed","I'm giving you a virtual hug right now."
"9014","When will I ever stop feeling so depressed?","I'm giving you a virtual hug right now."
"9015","I feel so melancholy","I'm giving you a virtual hug right now."
"9016","My life makes me sad","I'm giving you a virtual hug right now."
"9017","I have no life","I'm giving you a virtual hug right now."
"9018","This week has made me depressed","I'm giving you a virtual hug right now."
"9019","I'm depressed","I'm giving you a virtual hug right now."
"9020","Today has been depressing","I'm giving you a virtual hug right now."
"9021","I feel depressed today","I'm giving you a virtual hug right now."
"9022","I hate being depressed","I'm giving you a virtual hug right now."
"9023","I hate feeling depressed","I'm giving you a virtual hug right now."
"9024","I hate feeling depressed constantly","I'm giving you a virtual hug right now."
"9025","I hate feeling depressed every day","I'm giving you a virtual hug right now."
"9026","Life is so depressing","I'm giving you a virtual hug right now."
"9027","I wish I could stop feeling depressed","I'm giving you a virtual hug right now."
"9028","I can't stand feeling so depressed","I'm giving you a virtual hug right now."
"9029","I'm depressed today","I'm giving you a virtual hug right now."
"9030","I'm feeling depressed","I'm giving you a virtual hug right now."
"9031","I'm feeling depressed today","I'm giving you a virtual hug right now."
"9032","I'm just feeling a bit depressed today","I'm giving you a virtual hug right now."
"9033","I'm really depressed","I'm giving you a virtual hug right now."
"9034","I'm so depressed","I'm giving you a virtual hug right now."
"9035","I'm tired of feeling so depressed all the time","I'm giving you a virtual hug right now."
"9036","Depressing day today","I'm giving you a virtual hug right now."
"9037","I'm tired of feeling so downcast all the time","I'm giving you a virtual hug right now."
"9038","I'm sad today","I'm giving you a virtual hug right now."
"9039","I'm so sad","I'm giving you a virtual hug right now."
"9040","I'm tired of feeling so blue all the time","I'm giving you a virtual hug right now."
"9041","I'm tired of feeling so broken hearted all the time","I'm giving you a virtual hug right now."
"9042","I'm tired of feeling so dejected all the time","I'm giving you a virtual hug right now."
"9043","I'm tired of feeling so despairing all the time","I'm giving you a virtual hug right now."
"9044","Today has me feeling blue","I'm giving you a virtual hug right now."
"9045","I'm tired of feeling so down all the time","I'm giving you a virtual hug right now."
"9046","I'm out of sorts","I'm giving you a virtual hug right now."
"9047","I'm tired of feeling so downhearted all the time","I'm giving you a virtual hug right now."
"9048","I'm tired of feeling so gloomy all the time","I'm giving you a virtual hug right now."
"9049","I'm tired of feeling so glum all the time","I'm giving you a virtual hug right now."
"9050","I'm tired of feeling so inconsolable all the time","I'm giving you a virtual hug right now."
"9051","I'm tired of feeling so melancholy all the time","I'm giving you a virtual hug right now."
"9052","I'm tired of feeling so miserable all the time","I'm giving you a virtual hug right now."
"9053","I'm tired of feeling so despondent all the time","I'm giving you a virtual hug right now."
"9054","I'm inconsolable today","I'm giving you a virtual hug right now."
"9055","My life is sad","I'm giving you a virtual hug right now."
"9056","I'm gloomy","I'm giving you a virtual hug right now."
"9057","I'm gloomy today","I'm giving you a virtual hug right now."
"9058","I'm glum","I'm giving you a virtual hug right now."
"9059","I'm glum today","I'm giving you a virtual hug right now."
"9060","I'm heartbroken","I'm giving you a virtual hug right now."
"9061","I'm sad","I'm giving you a virtual hug right now."
"9062","I'm in despair today","I'm giving you a virtual hug right now."
"9063","I'm really sad","I'm giving you a virtual hug right now."
"9064","I'm inconsolable","I'm giving you a virtual hug right now."
"9065","I'm just feeling a bit sad today","I'm giving you a virtual hug right now."
"9066","I'm melancholy","I'm giving you a virtual hug right now."
"9067","I'm melancholy today","I'm giving you a virtual hug right now."
"9068","I'm miserable today","I'm giving you a virtual hug right now."
"9069","I'm miserable","I'm giving you a virtual hug right now."
"9070","I'm unhappy","I'm giving you a virtual hug right now."
"9071","I'm in despair","I'm giving you a virtual hug right now."
"9072","My life is so sad","I'm giving you a virtual hug right now."
"9073","I'm tired of feeling so sad all the time","I'm giving you a virtual hug right now."
"9074","Life always sucks","I'm giving you a virtual hug right now."
"9075","Life is depressing","I'm giving you a virtual hug right now."
"9076","Life is heartbreaking","I'm giving you a virtual hug right now."
"9077","Life is miserable","I'm giving you a virtual hug right now."
"9078","Life is sad","I'm giving you a virtual hug right now."
"9079","Lately I've been so sad","I'm giving you a virtual hug right now."
"9080","my life is depressing","I'm giving you a virtual hug right now."
"9081","Lately I've been so miserable","I'm giving you a virtual hug right now."
"9082","My spirits are terrible","I'm giving you a virtual hug right now."
"9083","My life is miserable","I'm giving you a virtual hug right now."
"9084","Sad day today","I'm giving you a virtual hug right now."
"9085","Sometimes I feel bummed out","I'm giving you a virtual hug right now."
"9086","Sometimes I just feel sad","I'm giving you a virtual hug right now."
"9087","This week has made me sad","I'm giving you a virtual hug right now."
"9088","Today has been a trying day","I'm giving you a virtual hug right now."
"9089","Listen, I'm just sad","I'm giving you a virtual hug right now."
"9090","Lately I've been so despondent","I'm giving you a virtual hug right now."
"9091","I'm feeling woeful","I'm giving you a virtual hug right now."
"9092","I'm unhappy today","I'm giving you a virtual hug right now."
"9093","I've been sad all day","I'm giving you a virtual hug right now."
"9094","Just feeling a tad down","I'm giving you a virtual hug right now."
"9095","Lately I've been so blue","I'm giving you a virtual hug right now."
"9096","Lately I've been so broken hearted","I'm giving you a virtual hug right now."
"9097","Lately I've been so unhappy","I'm giving you a virtual hug right now."
"9098","Lately I've been so despairing","I'm giving you a virtual hug right now."
"9099","I'm tired of feeling so unhappy all the time","I'm giving you a virtual hug right now."
"9100","Lately I've been so down","I'm giving you a virtual hug right now."
"9101","Lately I've been so downcast","I'm giving you a virtual hug right now."
"9102","Lately I've been so downhearted","I'm giving you a virtual hug right now."
"9103","Lately I've been so gloomy","I'm giving you a virtual hug right now."
"9104","Lately I've been so glum","I'm giving you a virtual hug right now."
"9105","Lately I've been so inconsolable","I'm giving you a virtual hug right now."
"9106","Lately I've been so melancholy","I'm giving you a virtual hug right now."
"9107","Lately I've been so dejected","I'm giving you a virtual hug right now."
"9108","I think I'm going to overdose","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9109","I think I'm going to drown","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9110","I think I'm going to end it all","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9111","I think I'm going to end my life","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9112","I think I'm going to hang myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9113","I think I'm going to hurt myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9114","I think I'm going to jump off a bridge","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9115","I want to drown","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9116","I think I'm going to kill myself with a gun","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9117","I think I'm going to commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9118","I think I'm going to shoot myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9119","I think I'm going to take pills","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9120","I want the pain to end","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9121","I want to be dead","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9122","I want to commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9123","I want to cut myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9124","I plan to kill myself today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9125","I think I'm going to kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9126","I plan to shoot myself this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9127","Being dead would be a relief","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9128","I plan to kill myself with a gun this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9129","I plan to kill myself with a gun this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9130","I plan to kill myself with a gun today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9131","I plan to overdose soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9132","I plan to overdose this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9133","I plan to overdose this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9134","I think I'm going to die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9135","I plan to shoot myself soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9136","I think I'm going to cut myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9137","I plan to shoot myself this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9138","I plan to shoot myself today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9139","I plan to take pills soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9140","I plan to take pills this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9141","I plan to take pills this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9142","I plan to take pills today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9143","I want to end it all","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9144","I plan to overdose today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9145","I'm better off dead","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9146","I'm about to hang myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9147","I'm about to hurt myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9148","I'm about to jump off a bridge","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9149","I'm about to kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9150","I'm about to kill myself with a gun","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9151","I'm about to overdose","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9152","I want to die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9153","I'm about to take pills","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9154","I'm about to drown","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9155","I'm feeling suicidal","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9156","I'm going to be dead soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9157","I'm going to commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9158","I'm going to commit suicide soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9159","I'm going to commit suicide this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9160","I'm going to commit suicide this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9161","I'm going to commit suicide today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9162","I'm about to shoot myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9163","I welcome death","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9164","I want to end my life","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9165","I want to hang myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9166","I want to hurt myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9167","I want to jump off a bridge","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9168","I want to kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9169","I want to kill myself with a gun","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9170","I want to overdose","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9171","I'm about to end my life","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9172","I want to shoot myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9173","I'm about to end it all","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9174","I wish I were dead","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9175","I won't be alive much longer","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9176","I'd be better off dead","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9177","I'm about to commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9178","I'm about to cut myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9179","I'm about to die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9180","I plan to kill myself this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9181","I want to overdose on pills","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9182","I need to hurt myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9183","I need the pain to end","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9184","I need to commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9185","I need to cut myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9186","I need to die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9187","I need to drown","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9188","I need to end it all","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9189","I plan to commit suicide this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9190","I need to hang myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9191","I just want it to end","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9192","I need to jump off a bridge","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9193","I need to kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9194","I need to kill myself with a gun","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9195","I need to overdose","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9196","I need to shoot myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9197","I need to take pills","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9198","I plan to kill myself with a gun soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9199","I need to end my life","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9200","I can't wait to die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9201","Everyone says I should just die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9202","Everyone says I should kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9203","Everyone thinks I should commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9204","Everyone thinks I should kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9205","Everyone thinks I'm a burden","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9206","Everyone wants me to commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9207","Everyone wants me to die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9208","I just want to end it all","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9209","I can't wait to commit suicide","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9210","I just want to die","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9211","I can't wait to kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9212","I feel like dying","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9213","I feel like I should kill myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9214","I feel like killing myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9215","I feel like offing myself","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9216","I just want it all to be over","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9217","I plan to commit suicide this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9218","I can't go on anymore","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9219","I plan to hurt myself this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9220","I plan to end my life this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9221","I plan to end my life today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9222","I plan to hang myself soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9223","I plan to hang myself this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9224","I plan to hang myself this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9225","I plan to hang myself today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9226","I plan to commit suicide soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9227","I plan to hurt myself this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9228","I plan to end it all today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9229","I plan to hurt myself today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9230","I plan to jump off a bridge soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9231","I plan to jump off a bridge this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9232","I plan to jump off a bridge this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9233","I plan to jump off a bridge today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9234","I plan to kill myself soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9235","I plan to kill myself this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9236","I plan to hurt myself soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9237","I plan to drown soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9238","I plan to commit suicide today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9239","I plan to cut myself soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9240","I plan to cut myself this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9241","I plan to cut myself this week","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9242","I plan to cut myself today","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9243","I plan to die soon","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9244","I plan to die this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
"9245","I plan to end my life this month","The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org."
